id,date,screenName,texte,type,nbre_like,nbre_retweet,type_vaccin
1465395959890956293,2021-11-29 19:03:17,MuraClaudine,@TPMP Pourquoi on ne peut pas recevoir une 3e dose d' Astrazeneca? Qui pourra me répondre?,tweet,0,0,astrazeneca
1465023920738902023,2021-11-28 18:24:56,Joel_Beuzelin,@dupontaignan 1000 enfants sont morts de la vaccination sur Twitter et Facebook uniquement. Moi vacciné 2 fois à l'astrazenéca j'ai perdu une oreille et la queue 🤣,tweet,0,0,astrazeneca
1464579745807536130,2021-11-27 12:59:56,JFJagle,"Je crois que le gouvernement veut se débarrasser de la #Guadeloupe: 
Acte 1, il propose d’envoyer des vaccins AstraZeneca et Janssen
Acte 2, le GVT est ""prêt"" à parler de l'autonomie de la Guadeloupe https://t.co/EsCXOXeivn",tweet,0,0,astrazeneca
1464177063691264002,2021-11-26 10:19:49,AvgeekEba,"3ème dose le 22/12
Dans l’ordre #astrazeneca #moderna #pfizer",tweet,3,0,astrazeneca
1464032156183932928,2021-11-26 00:44:01,yan_ndoma,"3 ème dose c’est rien ça, c’est comme de l’eau à boire.
1er dose: Pfizer
2nd dose: Moderna 
La 3ème cette fois je prend AstraZeneca. En tout cas Presi envoie seulement la date et l’heure. On va tous tchinzinn. Au moins on est sure de ne pas avoir une 4ème dose😅🤔😉 https://t.co/ROrWFuru4p",tweet,0,0,astrazeneca
1463919222833229834,2021-11-25 17:15:15,LeRedge76,@PascalPraud #hdpros Mme @BrigitteMilhau je suis vacciné 2 doses #AstraZeneca dois je faire un rappel qui me semble être pour le vaccin ARN #Pfizer si oui avec quel vaccin 🤔,tweet,0,0,astrazeneca
1463230448088371202,2021-11-23 19:38:18,SylvieDUH,"« Le 13 novembre, il y a eu 30 551 décès et 1 163 356 effets indésirables des vaccins COVID Pfizer, Moderna, Johnson &amp; Johnson et AstraZeneca.

 https://t.co/ugPenbsl27",tweet,5,5,astrazeneca
1462903608400306187,2021-11-22 21:59:34,ValentiJean1,@Poulin2012 @JuniorGuibole Pourtant vacciné AstraZeneca … enfin lors de sa vaccination en direct la seringue contenait peut être de l’eau,tweet,2,0,astrazeneca
1462416268628312067,2021-11-21 13:43:03,mariedahaoui18,@SergeDutilleul Tous les vaccins on des rappels il y avait 2 sortes de vaccins contre le Covid19 ARNm Pfizzer et Moderna et deux plus conventionnels AstraZeneca et Jansen vous ne vous êtes pas fait vacciner avec l’un de ces 4 vaccins ? Donc Votre argumentaire ne tient pas la route,tweet,1,0,astrazeneca
1462038426715361286,2021-11-20 12:41:38,fredycours,@TF1LeJT @LCI @Anne_Hidalgo @ACCoudray Dialoguer constatant la  mise en retrait dans les pays nord européen des vaccins  Astrazeneca de Moderna et de johnson and johnson ? 👍...,tweet,0,0,astrazeneca
1461746263242809357,2021-11-19 17:20:41,LeMarshall100,"#PfizerLeak #AstraZeneca #Moderna et #janssen lancent leur calendrier de l'avent !
Joyeuses fêtes 🥂 ! https://t.co/YQ8sUGdyu0",tweet,6,4,astrazeneca
1460571161264365569,2021-11-16 11:31:15,Joel_Beuzelin,@Libertg01486431 J' habite un petit village 10 de plus de 60 ans tous vaccinés à l'astrazenéca aucun morts aucun malade.,tweet,0,0,astrazeneca
