id,date,screenName,text,type
1377376779178967041,2021-03-31 21:46:29,ratonlave57,"Pourquoi ne donne t’on pas de l’Aspegic pédiatrie ,suite à la vaccination par l’astrazeneca pour atténuer le risque de thrombose ?",tweet
1377339517170933768,2021-03-31 19:18:25,MathildeSlv,@mvrinesv Le syndrome grippal du Pfizer existe aussi au passage askip Astrazeneca like.,tweet
1377337776819990528,2021-03-31 19:11:30,EBrussat,@montagnethiers #Orleat 210 personnes #vaccinees #Moderna depuis lundi ! Merci à nos #soignants les #elus vous accueillent! Encore 2 jours,tweet
1377336854379331584,2021-03-31 19:07:50,garrec_pierre,"En tout cas vendredi, c’est le vaccin astrazeneca qui s’écoulera dans mes veines 😷",tweet
1377325612134699012,2021-03-31 18:23:10,FPasquisDumont,"1700 centres Pfizer et Moderna...
Plus de 70 ans..
Le 16 avril ...60 et 70..
...
A mi-juin pour tous...

Fin été tous les Français  de + 18 ans vaccinés.. 
Mi-mai ouvertures des lieux de culture,de terrasses
Calendrier de réouverture progressive ...bientôt..",tweet
1377325089335689220,2021-03-31 18:21:05,OneManue,#AstraZeneca ce n’est pas ce vaccin qui a causé le plus de problèmes en modifiant l’ADN ? C’est celui-là qui est recommandé ? Grosse blague. Attendez le #johnsonandjohnson,tweet
1377310967168692226,2021-03-31 17:24:58,DrMRA59,Des primo injections de Pfizer disponibles à la polyclinique demain ... qu’on se le dise ! https://t.co/ovXT6GDq9N,tweet
1377304022663696385,2021-03-31 16:57:22,Magic_NC83,"@GonesRomz @kelyagl Au début oui mais une fois Astrazeneca mis sur le marché, la France a mise surtout sur Astrazeneca. D'où la panique quand les autres l'ont stoppé.",tweet
1377302056516587523,2021-03-31 16:49:33,Magic_NC83,"@GonesRomz @kelyagl En même temps c'est leur vaccin. Astrazeneca est anglais. Qui pense à eux avant les autres, c'est compréhensible surtout qu'ils sont plus dans l'UE donc ils ont aucun compte à rendre.",tweet
1377300564950794241,2021-03-31 16:43:38,StarmediaPhoto,Changement de nom de l’ astrazeneca:  Si on appelle une péripatéticienne une prostituée  ça reste quand même une pute,tweet
